date;total;details.name;details.date;details.value
2018/12/31;1916;Run;2018/12/31 18:42;1916
2018/12/31;1307;Bod Burner;2018/12/31 18:00;1307
2018/12/12;2959;Gym with Trainer;2018/12/12 17:21;2959
2018/12/11;3886;Pilates;2018/12/11 12:08;3886
2018/12/10;2695;Gym with Trainer;2018/12/10 18:06;2695
2018/12/05;2665;Gym with Trainer;2018/12/05 17:21;2665
2018/12/03;2569;Gym with Trainer;2018/12/03 18:10;2569
2018/12/03;247;Gym with Trainer;2018/12/03 18:06;247
2018/11/27;2546;Gym with Trainer;2018/11/27 10:09;2546
2018/11/26;3328;Pilates;2018/11/26 11:25;3328
2018/11/22;2521;Gym with Trainer;2018/11/22 12:23;2521
2018/11/21;2721;Gym with Trainer;2018/11/21 17:37;2721
2018/11/15;2802;Gym with Trainer;2018/11/15 17:23;2802
2018/11/12;2778;Gym with Trainer;2018/11/12 17:21;2778
2018/11/06;2623;Gym with Trainer;2018/11/06 16:38;2623
2018/11/05;2638;Gym with Trainer;2018/11/05 17:23;2638
2018/11/01;2725;Gym with Trainer;2018/11/01 16:37;2725
2018/10/26;2807;Gym with Trainer;2018/10/26 12:37;2807
2018/10/22;2789;Gym with Trainer;2018/10/22 18:06;2789
2018/10/20;2191;Cape Town Walking;2018/10/20 15:45;2191
2018/10/19;3517;Pilates;2018/10/19 9:40;3517
2018/10/16;2581;Gym with Trainer;2018/10/16 18:08;2581
2018/10/13;3143;Pilates ;2018/10/13 9:42;3143
2018/10/11;2717;Gym with Trainer;2018/10/11 16:37;2717
2018/10/10;2741;Gym with Trainer;2018/10/10 16:37;2741
2018/10/04;2681;Gym with Trainer;2018/10/04 16:36;2681
2018/10/03;3476;Pilates;2018/10/03 9:36;3476
2018/10/02;2759;Gym with Trainer;2018/10/02 18:22;2759
2018/09/28;3286;Pilates ;2018/09/28 9:37;3286
2018/09/27;820;Gym with Trainer;2018/09/27 17:08;820
2018/09/27;1856;Gym with Trainer;2018/09/27 16:36;1856
2018/09/26;2623;Gym with Trainer;2018/09/26 16:37;2623
2018/09/24;3447;Yoga;2018/09/24 10:27;3447
2018/09/20;2721;Gym with Trainer;2018/09/20 16:37;2721
2018/09/19;2775;Gym with Trainer;2018/09/19 16:35;2775
2018/09/05;2918;Gym with Trainer;2018/09/05 15:46;2918
2018/09/03;2796;Gym with Trainer;2018/09/03 17:06;2796
2018/09/01;3420;Pilates;2018/09/01 9:36;3420
2018/08/30;2747;Gym with Trainer;2018/08/30 16:23;2747
2018/08/29;2680;Gym with Trainer;2018/08/29 10:06;2680
2018/08/28;2572;Gym with Trainer;2018/08/28 16:23;2572
2018/08/27;3710;Yoga;2018/08/27 18:36;3710
2018/08/25;3383;Pilates;2018/08/25 9:37;3383
2018/08/23;2628;Gym with Trainer;2018/08/23 17:22;2628
2018/08/22;3541;Pilates;2018/08/22 9:36;3541
2018/08/18;3384;Pilates;2018/08/18 9:36;3384
2018/08/17;3449;Zumba;2018/08/17 10:40;3449
2018/08/15;3033;Pilates ;2018/08/15 9:43;3033
2018/08/14;1806;Boxing;2018/08/14 19:38;1806
2018/08/11;2129;Cape Town Walking;2018/08/11 16:24;2129
2018/08/08;2851;Trainer ;2018/08/08 11:07;2851
2018/08/07;3264;Zumba;2018/08/07 9:39;3264
2018/08/05;3053;Boxing;2018/08/05 9:37;3053
2018/08/03;3507;Zumba;2018/08/03 10:39;3507
2018/08/01;2927;Gym with Trainer;2018/08/01 10:18;2927
2018/07/31;2828;Gym with Trainer;2018/07/31 14:06;2828
2018/07/27;3920;Zumba;2018/07/27 10:39;3920
2018/07/19;2609;Squash;2018/07/19 20:09;2609
2018/07/18;2044;Perth and Kinross Walking;2018/07/18 23:26;2044
2018/07/16;3225;Perth and Kinross Walking;2018/07/16 22:25;3225
2018/07/15;3568;Squash;2018/07/15 20:02;3568
2018/07/10;3558;Perth and Kinross Walking;2018/07/10 16:46;3558
2018/07/10;4318;Squash;2018/07/10 14:09;4318
2018/07/09;1377;Perth and Kinross Walking;2018/07/09 21:24;1377
2018/07/08;3936;Squash;2018/07/08 20:44;3936
2018/07/08;2037;Perth and Kinross Walking;2018/07/08 0:11;2037
2018/07/07;3852;Squash;2018/07/07 13:27;3852
2018/07/07;1789;Perth and Kinross Walking;2018/07/07 2:17;1789
2018/07/05;1888;Perth and Kinross Walking;2018/07/05 23:23;1888
2018/07/04;4943;Squash;2018/07/04 20:49;4943
2018/07/04;2828;Workout Pilates (Home);2018/07/04 16:19;2828
2018/07/03;2472;Perth and Kinross Walking;2018/07/03 23:08;2472
2018/07/02;3742;Perth and Kinross Walking;2018/07/02 22:52;3742
2018/07/01;2380;Perth and Kinross Walking;2018/07/01 22:18;2380
2018/07/01;4448;Squash ;2018/07/01 16:48;4448
2018/06/30;1240;Perth and Kinross Walking;2018/06/30 22:14;1240
2018/06/29;3851;Squash;2018/06/29 19:23;3851
2018/06/29;4066;Perth and Kinross Walking;2018/06/29 15:46;4066
2018/06/28;1785;Perth and Kinross Walking;2018/06/28 22:12;1785
2018/06/28;225;Cardio;2018/06/28 16:57;225
2018/06/28;2667;Cardio;2018/06/28 14:31;2667
2018/06/27;2641;Perth and Kinross Walking;2018/06/27 23:38;2641
2018/06/27;3402;Squash ;2018/06/27 18:51;3402
2018/06/26;2200;Perth and Kinross Walking;2018/06/26 22:17;2200
2018/06/25;2008;Perth and Kinross Walking;2018/06/25 22:22;2008
2018/06/24;1206;Perth and Kinross Walking;2018/06/24 22:14;1206
2018/06/24;4642;Squash;2018/06/24 17:23;4642
2018/06/22;3118;HIIT & Ab Workout (Home);2018/06/22 15:26;3118
2018/06/21;2258;Perth and Kinross Walking;2018/06/21 22:14;2258
2018/06/21;2666;Pilates (Home);2018/06/21 16:28;2666
2018/06/20;2394;Cardio;2018/06/20 15:39;2394
2018/06/15;2621;Perth and Kinross Running;2018/06/15 16:19;2621
2018/06/12;3110;Cardio;2018/06/12 16:56;3110
2018/06/11;1830;Cycling ;2018/06/11 18:27;1830
2018/06/11;2100;Elliptical ;2018/06/11 17:37;2100
2018/06/10;3675;Cardio;2018/06/10 13:39;3675
2018/06/06;2620;Cardio;2018/06/06 17:23;2620
2018/06/03;2296;Cape Town Walking;2018/06/03 16:25;2296
2018/06/03;1095;Cardio;2018/06/03 13:43;1095
2018/06/03;1534;Cardio;2018/06/03 13:17;1534
2018/05/31;2985;Cardio;2018/05/31 11:09;2985
2018/05/29;2767;Cardio;2018/05/29 10:07;2767
2018/05/28;1482;Cardio;2018/05/28 19:25;1482
2018/05/28;1091;Cardio;2018/05/28 19:07;1091
2018/05/25;2612;Cardio;2018/05/25 10:53;2612
2018/05/18;2447;Cardio;2018/05/18 12:09;2447
2018/05/16;2478;Cardio;2018/05/16 13:07;2478
2018/05/11;2561;Cardio;2018/05/11 11:10;2561
2018/05/09;2688;Workout with trainer;2018/05/09 12:10;2688
2018/04/03;2624;Cardio;2018/04/03 8:17;2624
2018/03/29;2281;Cardio;2018/03/29 13:34;2281
2018/03/27;2738;Cardio;2018/03/27 16:00;2738
2018/03/23;2667;Cardio;2018/03/23 9:01;2667
2018/03/22;2883;Cardio;2018/03/22 15:59;2883
2018/03/19;2182;Other;2018/03/19 17:13;2182
2018/03/15;2664;Cardio;2018/03/15 14:00;2664
2018/03/14;3253;Pilates;2018/03/14 8:48;3253
2018/03/13;2715;Cardio;2018/03/13 14:16;2715
2018/03/10;2939;Gym Workout;2018/03/10 18:53;2939
2018/03/09;2609;Gym Workout with Trainer;2018/03/09 9:15;2609
2018/03/07;2987;Gym Workout with Trainer;2018/03/07 14:57;2987
2018/03/06;2750;Gym Workout;2018/03/06 16:45;2750
2018/03/05;2904;Gym Workout;2018/03/05 19:18;2904
2018/03/03;1368;Walking;2018/03/03 17:09;1368
2018/03/02;2507;Gym Workout with Trainer;2018/03/02 8:01;2507
2018/03/01;2819;Gym Workout with Trainer;2018/03/01 16:01;2819
2018/02/21;2544;Gym Workout with Trainer;2018/02/21 16:17;2544
2018/02/19;2720;Gym Workout with Trainer;2018/02/19 14:16;2720
2018/02/17;2542;Cardio;2018/02/17 19:17;2542
2018/02/14;2436;Gym Workout with Trainer;2018/02/14 16:04;2436
